krets,parti,stemmer
0,A,18688
0,SV,6252
0,RØDT,2318
0,SP,3167
0,KRF,3103
0,MDG,3589
0,V,3288
0,H,24010
0,FRP,10061
0,ALLI,96
0,DEMN,86
0,HELSE,256
0,KRISTNE,293
0,KYST,119
0,LIBS,152
0,PIR,104
0,FI,109
1,A,1021
1,SV,739
1,RØDT,305
1,SP,100
1,KRF,133
1,MDG,409
1,V,448
1,H,922
1,FRP,227
1,ALLI,7
1,DEMN,4
1,HELSE,4
1,KRISTNE,10
1,KYST,4
1,LIBS,19
1,PIR,14
1,FI,8
2,A,388
2,SV,370
2,RØDT,134
2,SP,56
2,KRF,32
2,MDG,157
2,V,165
2,H,317
2,FRP,113
2,ALLI,1
2,DEMN,0
2,HELSE,2
2,KRISTNE,2
2,KYST,4
2,LIBS,4
2,PIR,11
2,FI,1
3,A,350
3,SV,272
3,RØDT,106
3,SP,39
3,KRF,37
3,MDG,118
3,V,154
3,H,400
3,FRP,131
3,ALLI,1
3,DEMN,0
3,HELSE,1
3,KRISTNE,0
3,KYST,6
3,LIBS,9
3,PIR,2
3,FI,2
4,A,331
4,SV,245
4,RØDT,69
4,SP,55
4,KRF,85
4,MDG,120
4,V,237
4,H,618
4,FRP,116
4,ALLI,2
4,DEMN,2
4,HELSE,1
4,KRISTNE,7
4,KYST,7
4,LIBS,3
4,PIR,3
4,FI,0
7,A,661
7,SV,335
7,RØDT,130
7,SP,100
7,KRF,76
7,MDG,155
7,V,139
7,H,511
7,FRP,241
7,ALLI,3
7,DEMN,6
7,HELSE,6
7,KRISTNE,17
7,KYST,2
7,LIBS,10
7,PIR,7
7,FI,6
9,A,523
9,SV,203
9,RØDT,28
9,SP,79
9,KRF,125
9,MDG,79
9,V,196
9,H,830
9,FRP,279
9,ALLI,1
9,DEMN,1
9,HELSE,3
9,KRISTNE,35
9,KYST,0
9,LIBS,5
9,PIR,6
9,FI,2
13,A,676
13,SV,345
13,RØDT,91
13,SP,130
13,KRF,123
13,MDG,184
13,V,188
13,H,671
13,FRP,204
13,ALLI,6
13,DEMN,1
13,HELSE,4
13,KRISTNE,5
13,KYST,2
13,LIBS,11
13,PIR,6
13,FI,2
14,A,720
14,SV,384
14,RØDT,93
14,SP,120
14,KRF,146
14,MDG,180
14,V,174
14,H,603
14,FRP,178
14,ALLI,2
14,DEMN,3
14,HELSE,1
14,KRISTNE,7
14,KYST,1
14,LIBS,4
14,PIR,7
14,FI,2
15,A,668
15,SV,385
15,RØDT,100
15,SP,89
15,KRF,101
15,MDG,180
15,V,190
15,H,616
15,FRP,216
15,ALLI,4
15,DEMN,2
15,HELSE,5
15,KRISTNE,8
15,KYST,3
15,LIBS,2
15,PIR,4
15,FI,1
18,A,568
18,SV,235
18,RØDT,57
18,SP,69
18,KRF,75
18,MDG,108
18,V,174
18,H,732
18,FRP,193
18,ALLI,6
18,DEMN,1
18,HELSE,2
18,KRISTNE,6
18,KYST,4
18,LIBS,8
18,PIR,2
18,FI,0
19,A,628
19,SV,460
19,RØDT,182
19,SP,85
19,KRF,72
19,MDG,236
19,V,229
19,H,702
19,FRP,244
19,ALLI,3
19,DEMN,1
19,HELSE,4
19,KRISTNE,1
19,KYST,3
19,LIBS,1
19,PIR,2
19,FI,2
22,A,359
22,SV,140
22,RØDT,23
22,SP,50
22,KRF,59
22,MDG,53
22,V,106
22,H,541
22,FRP,186
22,ALLI,0
22,DEMN,1
22,HELSE,2
22,KRISTNE,1
22,KYST,3
22,LIBS,2
22,PIR,1
22,FI,1
23,A,549
23,SV,156
23,RØDT,26
23,SP,89
23,KRF,74
23,MDG,61
23,V,128
23,H,830
23,FRP,284
23,ALLI,2
23,DEMN,1
23,HELSE,5
23,KRISTNE,7
23,KYST,3
23,LIBS,14
23,PIR,2
23,FI,1
24,A,424
24,SV,120
24,RØDT,33
24,SP,91
24,KRF,95
24,MDG,35
24,V,76
24,H,468
24,FRP,250
24,ALLI,1
24,DEMN,0
24,HELSE,6
24,KRISTNE,6
24,KYST,0
24,LIBS,3
24,PIR,1
24,FI,1
28,A,506
28,SV,202
28,RØDT,31
28,SP,106
28,KRF,99
28,MDG,46
28,V,110
28,H,714
28,FRP,270
28,ALLI,2
28,DEMN,3
28,HELSE,12
28,KRISTNE,7
28,KYST,2
28,LIBS,4
28,PIR,2
28,FI,2
29,A,336
29,SV,72
29,RØDT,11
29,SP,61
29,KRF,73
29,MDG,32
29,V,59
29,H,547
29,FRP,266
29,ALLI,0
29,DEMN,0
29,HELSE,0
29,KRISTNE,7
29,KYST,3
29,LIBS,2
29,PIR,1
29,FI,2
31,A,914
31,SV,287
31,RØDT,58
31,SP,171
31,KRF,176
31,MDG,59
31,V,136
31,H,994
31,FRP,566
31,ALLI,7
31,DEMN,4
31,HELSE,6
31,KRISTNE,12
31,KYST,3
31,LIBS,12
31,PIR,10
31,FI,3
32,A,426
32,SV,119
32,RØDT,25
32,SP,68
32,KRF,67
32,MDG,43
32,V,63
32,H,444
32,FRP,196
32,ALLI,4
32,DEMN,0
32,HELSE,2
32,KRISTNE,7
32,KYST,1
32,LIBS,7
32,PIR,2
32,FI,2
35,A,216
35,SV,72
35,RØDT,17
35,SP,59
35,KRF,71
35,MDG,17
35,V,19
35,H,266
35,FRP,178
35,ALLI,0
35,DEMN,2
35,HELSE,0
35,KRISTNE,5
35,KYST,7
35,LIBS,2
35,PIR,0
35,FI,1
36,A,591
36,SV,191
36,RØDT,40
36,SP,163
36,KRF,149
36,MDG,54
36,V,91
36,H,672
36,FRP,308
36,ALLI,0
36,DEMN,5
36,HELSE,7
36,KRISTNE,4
36,KYST,3
36,LIBS,2
36,PIR,5
36,FI,4
39,A,244
39,SV,87
39,RØDT,13
39,SP,109
39,KRF,84
39,MDG,15
39,V,49
39,H,349
39,FRP,239
39,ALLI,1
39,DEMN,2
39,HELSE,2
39,KRISTNE,9
39,KYST,0
39,LIBS,1
39,PIR,1
39,FI,2
44,A,236
44,SV,63
44,RØDT,19
44,SP,104
44,KRF,49
44,MDG,32
44,V,53
44,H,400
44,FRP,217
44,ALLI,1
44,DEMN,1
44,HELSE,2
44,KRISTNE,1
44,KYST,1
44,LIBS,4
44,PIR,3
44,FI,4
45,A,281
45,SV,126
45,RØDT,34
45,SP,105
45,KRF,55
45,MDG,55
45,V,108
45,H,752
45,FRP,266
45,ALLI,1
45,DEMN,3
45,HELSE,4
45,KRISTNE,6
45,KYST,2
45,LIBS,3
45,PIR,1
45,FI,0
48,A,522
48,SV,165
48,RØDT,29
48,SP,102
48,KRF,113
48,MDG,104
48,V,166
48,H,969
48,FRP,250
48,ALLI,5
48,DEMN,0
48,HELSE,2
48,KRISTNE,3
48,KYST,2
48,LIBS,4
48,PIR,3
48,FI,1
49,A,931
49,SV,338
49,RØDT,79
49,SP,141
49,KRF,194
49,MDG,154
49,V,275
49,H,1255
49,FRP,421
49,ALLI,5
49,DEMN,2
49,HELSE,8
49,KRISTNE,15
49,KYST,3
49,LIBS,10
49,PIR,9
49,FI,6
52,A,233
52,SV,122
52,RØDT,30
52,SP,35
52,KRF,47
52,MDG,77
52,V,154
52,H,560
52,FRP,106
52,ALLI,2
52,DEMN,1
52,HELSE,3
52,KRISTNE,0
52,KYST,0
52,LIBS,2
52,PIR,2
52,FI,0
54,A,820
54,SV,211
54,RØDT,47
54,SP,151
54,KRF,158
54,MDG,102
54,V,221
54,H,1550
54,FRP,465
54,ALLI,4
54,DEMN,1
54,HELSE,4
54,KRISTNE,13
54,KYST,3
54,LIBS,3
54,PIR,7
54,FI,6
55,A,589
55,SV,224
55,RØDT,43
55,SP,132
55,KRF,120
55,MDG,73
55,V,212
55,H,1214
55,FRP,263
55,ALLI,0
