krets,parti,stemmer
0,A,14549
0,SV,3335
0,RØDT,774
0,SP,1033
0,KRF,3359
0,V,3541
0,H,20015
0,FRP,8309
0,DEMN,46
0,KRISTNE,357
0,KYST,44
0,MDG,2490
0,NKP,33
0,PIR,193
0,PP,206
0,FOLKEM,24
1,A,1243
1,SV,701
1,RØDT,167
1,SP,100
1,KRF,204
1,V,611
1,H,1264
1,FRP,314
1,DEMN,5
1,KRISTNE,21
1,KYST,3
1,MDG,425
1,NKP,5
1,PIR,63
1,PP,5
1,FOLKEM,2
2,A,358
2,SV,259
2,RØDT,54
2,SP,25
2,KRF,42
2,V,166
2,H,290
2,FRP,113
2,DEMN,0
2,KRISTNE,7
2,KYST,1
2,MDG,131
2,NKP,2
2,PIR,13
2,PP,1
2,FOLKEM,2
3,A,428
3,SV,248
3,RØDT,56
3,SP,39
3,KRF,56
3,V,198
3,H,428
3,FRP,148
3,DEMN,0
3,KRISTNE,1
3,KYST,0
3,MDG,131
3,NKP,0
3,PIR,11
3,PP,4
3,FOLKEM,0
4,A,340
4,SV,179
4,RØDT,27
4,SP,46
4,KRF,142
4,V,184
4,H,712
4,FRP,131
4,DEMN,2
4,KRISTNE,9
4,KYST,3
4,MDG,93
4,NKP,1
4,PIR,8
4,PP,0
4,FOLKEM,0
7,A,754
7,SV,313
7,RØDT,77
7,SP,78
7,KRF,177
7,V,244
7,H,710
7,FRP,353
7,DEMN,4
7,KRISTNE,19
7,KYST,2
7,MDG,197
7,NKP,4
7,PIR,28
7,PP,5
7,FOLKEM,10
9,A,681
9,SV,177
9,RØDT,13
9,SP,44
9,KRF,226
9,V,240
9,H,1126
9,FRP,309
9,DEMN,1
9,KRISTNE,27
9,KYST,0
9,MDG,72
9,NKP,3
9,PIR,9
9,PP,1
9,FOLKEM,0
13,A,769
13,SV,275
13,RØDT,41
13,SP,63
13,KRF,195
13,V,281
13,H,784
13,FRP,250
13,DEMN,0
13,KRISTNE,7
13,KYST,0
13,MDG,179
13,NKP,1
13,PIR,6
13,PP,4
13,FOLKEM,3
14,A,1097
14,SV,384
14,RØDT,50
14,SP,78
14,KRF,259
14,V,328
14,H,938
14,FRP,371
14,DEMN,0
14,KRISTNE,23
14,KYST,4
14,MDG,214
14,NKP,1
14,PIR,22
14,PP,8
14,FOLKEM,1
15,A,734
15,SV,297
15,RØDT,43
15,SP,59
15,KRF,171
15,V,266
15,H,729
15,FRP,262
15,DEMN,2
15,KRISTNE,8
15,KYST,1
15,MDG,152
15,NKP,1
15,PIR,17
15,PP,4
15,FOLKEM,5
18,A,641
18,SV,181
18,RØDT,20
18,SP,48
18,KRF,128
18,V,209
18,H,900
18,FRP,251
18,DEMN,0
18,KRISTNE,11
18,KYST,1
18,MDG,122
18,NKP,1
18,PIR,5
18,PP,3
18,FOLKEM,1
19,A,734
19,SV,409
19,RØDT,76
19,SP,45
19,KRF,114
19,V,274
19,H,758
19,FRP,260
19,DEMN,2
19,KRISTNE,15
19,KYST,2
19,MDG,216
19,NKP,0
19,PIR,20
19,PP,1
19,FOLKEM,5
22,A,410
22,SV,91
22,RØDT,9
22,SP,25
22,KRF,83
22,V,144
22,H,595
22,FRP,211
22,DEMN,0
22,KRISTNE,4
22,KYST,0
22,MDG,52
22,NKP,2
22,PIR,4
22,PP,3
